Sample A,Sample B,Sample C,Sample D,Sample E,Sample F,Sample G,Sample H,Sample I,Sample J
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,-1,-1,-1,-1,-1,-1,100,-1,-1
-1,-1,100,-1,100,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,100,-1,-1
-1,-1,-1,100,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,100,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,100,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,100,-1,-1,-1,-1,-1,-1
-1,100,-1,100,-1,-1,100,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,100,-1,-1,100,-1,-1,-1,-1,-1
-1,-1,-1,100,-1,-1,100,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,100,-1,-1,100,-1,-1,-1,100,-1
-1,-1,-1,-1,-1,-1,-1,100,-1,-1
100,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,100,-1,-1,-1
-1,-1,-1,-1,100,-1,-1,-1,-1,-1
100,100,-1,-1,-1,-1,-1,-1,-1,-1
100,-1,-1,-1,-1,-1,100,100,-1,-1
-1,100,100,-1,-1,-1,100,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,100,-1,100,-1,-1,100,100,100,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,100,-1,-1,100,-1,-1
-1,-1,100,-1,-1,-1,-1,-1,-1,-1
-1,-1,100,-1,-1,-1,-1,-1,100,-1
-1,-1,-1,100,-1,-1,-1,100,100,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,100,-1,-1
100,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,100,-1,-1,-1,100,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
100,-1,100,-1,100,-1,-1,-1,-1,-1
100,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,100,-1,-1
-1,-1,-1,-1,-1,-1,-1,100,-1,-1
-1,-1,-1,100,-1,-1,-1,-1,-1,100
100,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,100,-1,100,-1,-1,-1,-1,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,100,-1,-1,-1,100,-1
-1,-1,-1,-1,-1,-1,-1,100,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,100,-1,100,-1,-1,-1,100,-1
100,-1,-1,100,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,100,100,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,100,-1,-1,-1,-1,-1,-1,-1
-1,-1,100,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,100,-1,100,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,100,-1,100,-1,-1,-1
-1,100,100,-1,-1,-1,-1,-1,-1,-1
100,-1,-1,-1,100,-1,-1,-1,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
100,-1,-1,-1,-1,-1,-1,100,-1,-1
-1,-1,-1,-1,100,-1,100,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,100,-1,-1
-1,-1,-1,-1,100,-1,-1,-1,-1,-1
-1,-1,100,-1,-1,-1,-1,100,-1,-1
-1,100,100,100,-1,-1,-1,-1,-1,-1
100,-1,-1,-1,-1,-1,100,-1,-1,-1
100,100,100,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,100,-1,-1,-1,100,-1,-1
-1,-1,100,-1,-1,-1,-1,-1,-1,-1
-1,-1,100,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,100,-1,-1,-1,-1,-1
100,100,-1,-1,100,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,100,100,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,100,-1,-1,-1,-1,100,-1,-1
-1,100,-1,-1,100,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,100,-1,-1,100,-1,-1
-1,100,-1,100,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,100,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,100,-1,-1,-1,100,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,100,-1,-1,-1,-1,100,-1,-1
100,100,-1,-1,-1,-1,-1,-1,-1,-1
100,-1,-1,-1,100,-1,-1,100,-1,-1
-1,-1,-1,-1,-1,-1,100,-1,100,-1
-1,-1,-1,-1,-1,-1,100,100,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,100,-1,-1,-1,-1,-1
-1,-1,100,-1,-1,-1,-1,100,100,-1
-1,-1,-1,-1,-1,-1,100,-1,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,100,-1
-1,-1,-1,-1,100,-1,-1,-1,-1,-1
-1,100,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,100,-1
